week_start,delay_symptoms_prereg,delay_prereg_test,delay_test_reception,incubation_time,n_obs
2021-08-23,2.228518586516204,0.6683757036072531,0.8933535138567387,4.8,72
2021-08-30,2.3136426366120215,0.6667763069216758,0.9766136522844565,4.8,61
2021-09-06,2.412764165839947,0.555737818287037,1.037934193535053,4.8,56
2021-09-13,2.347027792302106,0.5750854974582426,0.37152028935185183,4.8,51
2021-09-20,2.315043440432099,0.4577343373456789,0.3312136973765432,4.8,75
2021-09-27,2.7298929473858258,0.5356145714111668,0.35604634381091615,4.8,133
2021-10-04,3.084375637161165,0.5453546365908482,0.39273676609467256,4.8,276
2021-10-11,3.525653878203176,0.5069667358319119,0.41167761584226775,4.8,456
2021-10-18,3.645307441760898,0.47520632421746967,0.42760792213618487,4.8,565
2021-10-25,3.520273305803094,0.455702127722918,0.4219823211370692,4.8,692
2021-11-01,3.4415412912955894,0.4472415755407125,0.43297975044175857,4.8,655
2021-11-08,3.100435765177206,0.4510428903185052,0.4250528906094155,4.8,557
2021-11-15,2.852704389632265,0.5611111026893254,0.42098366183002106,4.8,492
2021-11-22,2.5097194803979512,0.8549561992710796,0.4641401015501872,4.8,376
2021-11-29,2.274425750839688,1.079014699414488,0.45240460583847736,4.8,306
2021-12-06,2.1211458373999,1.3281784869244244,0.48521916843927254,4.8,222
2021-12-13,1.9022140233545648,1.4645145682944092,0.49457481584689794,4.8,157
2021-12-20,2.10029224446005,1.2510654334425717,0.4366872491416979,4.8,89
2021-12-27,2.1820536025641024,0.9587583632478633,0.48153239957264954,3.6,65
2022-01-03,2.203012136702675,0.8553983571244856,1.2012807613168723,3.6,90
2022-01-10,2.217709312118175,0.807634330493509,1.1976894810757923,3.6,97
2022-01-17,2.170134341269841,0.6767571931216931,1.143537466931217,3.6,105
2022-01-24,2.1701032380768663,0.5498592839689888,1.0511286823927102,3.6,126
2022-01-31,2.0707237965880796,0.5383448308629006,0.5195977676626206,3.6,119
2022-02-07,2.057760577050264,0.534092830979614,0.472746868872549,3.6,119
2022-02-14,2.2288779043347664,0.7022976909033288,0.5010077048886684,3.6,168
2022-02-21,2.15855603909465,0.7170318503821281,0.4886812710048011,3.6,189
2022-02-28,2.118623201841787,0.6717451556461354,0.48897767325885666,3.6,230
2022-03-07,2.1664795028783463,0.6525748042377584,0.484813354834235,3.6,267
2022-03-14,2.004095128472222,0.5699210752314815,0.4667919570794753,3.6,240
2022-03-21,2.1141786753688336,0.5303579774665744,0.4479445455374981,3.6,241
2022-03-28,2.237035716983431,0.4987098970516569,0.4405057714757221,3.6,209
2022-04-04,2.0620246040244155,0.5472631054727913,0.4286641292933996,3.6,179
2022-04-11,2.172424806214635,0.5563078326742541,0.4142748625578704,3.6,144
2022-04-18,2.1637506528060073,0.6805074772752935,0.388628404612692,3.6,82
2022-04-25,1.9024288362979205,0.7162358810510073,0.33189766406757637,3.6,57
2022-05-02,1.855698014132554,0.662576839668616,0.3047369584551657,3.6,38
2022-05-09,1.882167553047839,0.6396302864583333,0.3052471177340535,3.6,36
2022-05-16,2.038195142239279,0.7437858519127681,0.3003545921661793,3.6,38
2022-05-23,2.173558575053419,0.9818901428952992,0.3347897404736467,3.6,26
